"country_of_birth","Year","Count","State","share"
"China",2004,320,"ACT",27.59
"UK, CIs & IOM",2004,170,"ACT",14.66
"India",2004,170,"ACT",14.66
"USA",2004,140,"ACT",12.07
"Sudan",2004,70,"ACT",6.03
"New Zealand",2004,60,"ACT",5.17
"Philippines",2004,60,"ACT",5.17
"Korea, South",2004,60,"ACT",5.17
"Sri Lanka",2004,60,"ACT",5.17
"Afghanistan",2004,50,"ACT",4.31
"China",2005,340,"ACT",29.06
"UK, CIs & IOM",2005,200,"ACT",17.09
"India",2005,140,"ACT",11.97
"Philippines",2005,100,"ACT",8.55
"Malaysia",2005,90,"ACT",7.69
"USA",2005,80,"ACT",6.84
"New Zealand",2005,70,"ACT",5.98
"Germany",2005,50,"ACT",4.27
"Vietnam",2005,50,"ACT",4.27
"Pakistan",2005,50,"ACT",4.27
"China",2006,400,"ACT",24.24
"India",2006,330,"ACT",20
"UK, CIs & IOM",2006,210,"ACT",12.73
"USA",2006,190,"ACT",11.52
"New Zealand",2006,90,"ACT",5.45
"Indonesia",2006,90,"ACT",5.45
"Malaysia",2006,90,"ACT",5.45
"Sri Lanka",2006,90,"ACT",5.45
"Philippines",2006,80,"ACT",4.85
"Pakistan",2006,80,"ACT",4.85
"China",2007,570,"ACT",28.5
"India",2007,390,"ACT",19.5
"UK, CIs & IOM",2007,280,"ACT",14
"New Zealand",2007,140,"ACT",7
"Philippines",2007,140,"ACT",7
"USA",2007,130,"ACT",6.5
"Vietnam",2007,100,"ACT",5
"Sri Lanka",2007,90,"ACT",4.5
"Malaysia",2007,80,"ACT",4
"South Africa",2007,80,"ACT",4
"China",2008,730,"ACT",28.85
"India",2008,560,"ACT",22.13
"UK, CIs & IOM",2008,340,"ACT",13.44
"Philippines",2008,150,"ACT",5.93
"Vietnam",2008,140,"ACT",5.53
"New Zealand",2008,130,"ACT",5.14
"Korea, South",2008,130,"ACT",5.14
"Saudi Arabia",2008,120,"ACT",4.74
"Malaysia",2008,120,"ACT",4.74
"South Africa",2008,110,"ACT",4.35
"China",2009,740,"ACT",32.31
"India",2009,520,"ACT",22.71
"UK, CIs & IOM",2009,270,"ACT",11.79
"Philippines",2009,140,"ACT",6.11
"USA",2009,130,"ACT",5.68
"Vietnam",2009,120,"ACT",5.24
"Sri Lanka",2009,100,"ACT",4.37
"New Zealand",2009,90,"ACT",3.93
"Pakistan",2009,90,"ACT",3.93
"South Africa",2009,90,"ACT",3.93
"China",2010,330,"ACT",24.09
"New Zealand",2010,170,"ACT",12.41
"UK, CIs & IOM",2010,170,"ACT",12.41
"India",2010,150,"ACT",10.95
"USA",2010,120,"ACT",8.76
"South Africa",2010,110,"ACT",8.03
"Philippines",2010,90,"ACT",6.57
"Vietnam",2010,80,"ACT",5.84
"Sri Lanka",2010,80,"ACT",5.84
"Ireland",2010,70,"ACT",5.11
"UK, CIs & IOM",2011,620,"ACT",21.38
"India",2011,530,"ACT",18.28
"China",2011,390,"ACT",13.45
"New Zealand",2011,280,"ACT",9.66
"Korea, South",2011,220,"ACT",7.59
"Philippines",2011,210,"ACT",7.24
"USA",2011,210,"ACT",7.24
"South Africa",2011,170,"ACT",5.86
"Ireland",2011,150,"ACT",5.17
"Sri Lanka",2011,120,"ACT",4.14
"India",2012,420,"ACT",20.19
"China",2012,360,"ACT",17.31
"UK, CIs & IOM",2012,320,"ACT",15.38
"Philippines",2012,220,"ACT",10.58
"New Zealand",2012,210,"ACT",10.1
"Pakistan",2012,170,"ACT",8.17
"Bangladesh",2012,100,"ACT",4.81
"South Africa",2012,100,"ACT",4.81
"Vietnam",2012,90,"ACT",4.33
"Korea, South",2012,90,"ACT",4.33
"China",2013,710,"ACT",29.96
"India",2013,660,"ACT",27.85
"Philippines",2013,200,"ACT",8.44
"UK, CIs & IOM",2013,180,"ACT",7.59
