"Year","State","Visa_Type","Visa_Stream","Arrival","Departure","Net"
2014,"AUS","PR","Family",32050,6150,25900
2014,"AUS","PR","Skilled",42240,8640,33600
2014,"AUS","PR","Humanitarian",11690,140,11550
2014,"AUS","PR","Other",5510,6350,-840
2014,"AUS","PR","Total",91490,21280,70210
2015,"AUS","PR","Family",31590,5790,25800
2015,"AUS","PR","Skilled",41850,8570,33280
2015,"AUS","PR","Humanitarian",11080,150,10930
2015,"AUS","PR","Other",6070,6470,-400
2015,"AUS","PR","Total",90590,20980,69610
2016,"AUS","PR","Family",29680,5610,24070
2016,"AUS","PR","Skilled",46140,8060,38080
2016,"AUS","PR","Humanitarian",24120,130,23990
2016,"AUS","PR","Other",6270,6690,-420
2016,"AUS","PR","Total",106210,20490,85720
2017,"AUS","PR","Family",26280,5560,20720
2017,"AUS","PR","Skilled",43320,7770,35550
2017,"AUS","PR","Humanitarian",12190,150,12040
2017,"AUS","PR","Other",6130,7110,-980
2017,"AUS","PR","Total",87920,20590,67330
2018,"AUS","PR","Family",24290,5780,18510
2018,"AUS","PR","Skilled",38230,7490,30740
2018,"AUS","PR","Humanitarian",15340,170,15170
2018,"AUS","PR","Other",7530,8110,-580
2018,"AUS","PR","Total",85390,21550,63840
2019,"AUS","PR","Family",20300,6380,13920
2019,"AUS","PR","Skilled",27280,8500,18780
2019,"AUS","PR","Humanitarian",13000,120,12880
2019,"AUS","PR","Other",10320,9410,910
2019,"AUS","PR","Total",70900,24410,46490
2020,"AUS","PR","Family",15650,4180,11470
2020,"AUS","PR","Skilled",14620,6560,8060
2020,"AUS","PR","Humanitarian",590,80,510
2020,"AUS","PR","Other",6090,7110,-1020
2020,"AUS","PR","Total",36950,17930,19020
2021,"AUS","PR","Family",25910,6370,19540
2021,"AUS","PR","Skilled",28100,6930,21170
2021,"AUS","PR","Humanitarian",7780,110,7670
2021,"AUS","PR","Other",9320,10250,-930
2021,"AUS","PR","Total",71110,23660,47450
2022,"AUS","PR","Family",21100,5610,15490
2022,"AUS","PR","Skilled",35390,4850,30540
2022,"AUS","PR","Humanitarian",12970,120,12850
2022,"AUS","PR","Other",10930,9560,1370
2022,"AUS","PR","Total",80390,20140,60250
2023,"AUS","PR","Family",23130,5110,18020
2023,"AUS","PR","Skilled",40720,5050,35670
2023,"AUS","PR","Humanitarian",17460,170,17290
2023,"AUS","PR","Other",9580,8530,1050
2023,"AUS","PR","Total",90890,18860,72030
2014,"NSW","PR","Family",11770,2240,9530
2014,"NSW","PR","Skilled",12290,2700,9590
2014,"NSW","PR","Humanitarian",4770,60,4710
2014,"NSW","PR","Other",2020,2400,-380
2014,"NSW","PR","Total",30850,7400,23450
2015,"NSW","PR","Family",11580,2150,9430
2015,"NSW","PR","Skilled",13230,2590,10640
2015,"NSW","PR","Humanitarian",3340,60,3280
2015,"NSW","PR","Other",2190,2310,-120
2015,"NSW","PR","Total",30340,7110,23230
2016,"NSW","PR","Family",11070,2100,8970
2016,"NSW","PR","Skilled",16190,2490,13700
2016,"NSW","PR","Humanitarian",10720,60,10660
2016,"NSW","PR","Other",2270,2460,-190
2016,"NSW","PR","Total",40250,7110,33140
2017,"NSW","PR","Family",9720,2210,7510
2017,"NSW","PR","Skilled",15380,2680,12700
2017,"NSW","PR","Humanitarian",4390,60,4330
2017,"NSW","PR","Other",2190,2680,-490
2017,"NSW","PR","Total",31680,7630,24050
2018,"NSW","PR","Family",8830,2190,6640
2018,"NSW","PR","Skilled",13000,2680,10320
2018,"NSW","PR","Humanitarian",6250,70,6180
2018,"NSW","PR","Other",2670,2950,-280
2018,"NSW","PR","Total",30750,7890,22860
2019,"NSW","PR","Family",7330,2520,4810
2019,"NSW","PR","Skilled",9290,2820,6470
2019,"NSW","PR","Humanitarian",5290,50,5240
2019,"NSW","PR","Other",3760,3520,240
2019,"NSW","PR","Total",25670,8910,16760
2020,"NSW","PR","Family",7580,1590,5990
2020,"NSW","PR","Skilled",7250,2030,5220
2020,"NSW","PR","Humanitarian",170,40,130
2020,"NSW","PR","Other",3040,2570,470
2020,"NSW","PR","Total",18040,6230,11810
2021,"NSW","PR","Family",9630,2650,6980
2021,"NSW","PR","Skilled",8790,2660,6130
2021,"NSW","PR","Humanitarian",3150,50,3100
2021,"NSW","PR","Other",3540,4070,-530
2021,"NSW","PR","Total",25110,9430,15680
2022,"NSW","PR","Family",7400,2120,5280
2022,"NSW","PR","Skilled",9620,1730,7890
2022,"NSW","PR","Humanitarian",4320,40,4280
2022,"NSW","PR","Other",4250,3630,620
2022,"NSW","PR","Total",25590,7520,18070
2023,"NSW","PR","Family",7690,1850,5840
2023,"NSW","PR","Skilled",11920,1600,10320
2023,"NSW","PR","Humanitarian",5670,60,5610
2023,"NSW","PR","Other",3640,3070,570
2023,"NSW","PR","Total",28920,6580,22340
2014,"VIC","PR","Family",9600,1600,8000
2014,"VIC","PR","Skilled",12890,2240,10650
2014,"VIC","PR","Humanitarian",3600,40,3560
2014,"VIC","PR","Other",1570,1650,-80
2014,"VIC","PR","Total",27660,5530,22130
2015,"VIC","PR","Family",9680,1490,8190
2015,"VIC","PR","Skilled",13420,2230,11190
2015,"VIC","PR","Humanitarian",3210,40,3170
2015,"VIC","PR","Other",1850,1690,160
2015,"VIC","PR","Total",28160,5450,22710
2016,"VIC","PR","Family",9290,1460,7830
2016,"VIC","PR","Skilled",15230,2280,12950
2016,"VIC","PR","Humanitarian",7220,30,7190
2016,"VIC","PR","Other",1900,1810,90
2016,"VIC","PR","Total",33640,5580,28060
2017,"VIC","PR","Family",8420,1420,7000
2017,"VIC","PR","Skilled",14410,2280,12130
2017,"VIC","PR","Humanitarian",3650,40,3610
2017,"VIC","PR","Other",1790,1970,-180
2017,"VIC","PR","Total",28270,5710,22560
2018,"VIC","PR","Family",7960,1650,6310
2018,"VIC","PR","Skilled",12660,2370,10290
2018,"VIC","PR","Humanitarian",4110,50,4060
2018,"VIC","PR","Other",2300,2290,10
2018,"VIC","PR","Total",27030,6360,20670
2019,"VIC","PR","Family",6620,1900,4720
2019,"VIC","PR","Skilled",8420,3090,5330
2019,"VIC","PR","Humanitarian",3650,40,3610
2019,"VIC","PR","Other",3100,2940,160
2019,"VIC","PR","Total",21790,7970,13820
2020,"VIC","PR","Family",3920,1490,2430
2020,"VIC","PR","Skilled",3630,2880,750
2020,"VIC","PR","Humanitarian",150,20,130
2020,"VIC","PR","Other",1300,2640,-1340
2020,"VIC","PR","Total",9000,7030,1970
2021,"VIC","PR","Family",8040,1860,6180
2021,"VIC","PR","Skilled",9260,2250,7010
2021,"VIC","PR","Humanitarian",2740,30,2710
2021,"VIC","PR","Other",3060,3240,-180
2021,"VIC","PR","Total",23100,7380,15720
2022,"VIC","PR","Family",6920,1590,5330
2022,"VIC","PR","Skilled",10630,1400,9230
2022,"VIC","PR","Humanitarian",4440,40,4400
2022,"VIC","PR","Other",3610,2830,780
2022,"VIC","PR","Total",25600,5860,19740
2023,"VIC","PR","Family",8220,1440,6780
2023,"VIC","PR","Skilled",11800,1420,10380
2023,"VIC","PR","Humanitarian",5950,60,5890
2023,"VIC","PR","Other",3100,2530,570
2023,"VIC","PR","Total",29070,5450,23620
2014,"QLD","PR","Family",4180,1070,3110
2014,"QLD","PR","Skilled",4490,1350,3140
2014,"QLD","PR","Humanitarian",1380,20,1360
2014,"QLD","PR","Other",840,970,-130
2014,"QLD","PR","Total",10890,3410,7480
2015,"QLD","PR","Family",4070,1000,3070
2015,"QLD","PR","Skilled",4380,1210,3170
2015,"QLD","PR","Humanitarian",1950,20,1930
2015,"QLD","PR","Other",920,1050,-130
2015,"QLD","PR","Total",11320,3280,8040
2016,"QLD","PR","Family",3730,930,2800
2016,"QLD","PR","Skilled",4860,1090,3770
2016,"QLD","PR","Humanitarian",2730,10,2720
2016,"QLD","PR","Other",940,1010,-70
2016,"QLD","PR","Total",12260,3040,9220
2017,"QLD","PR","Family",3200,900,2300
2017,"QLD","PR","Skilled",4480,1050,3430
2017,"QLD","PR","Humanitarian",1880,30,1850
2017,"QLD","PR","Other",900,1020,-120
2017,"QLD","PR","Total",10460,3000,7460
2018,"QLD","PR","Family",3040,890,2150
2018,"QLD","PR","Skilled",4170,910,3260
2018,"QLD","PR","Humanitarian",2500,20,2480
2018,"QLD","PR","Other",1080,1210,-130
2018,"QLD","PR","Total",10790,3030,7760
2019,"QLD","PR","Family",2470,930,1540
2019,"QLD","PR","Skilled",3240,910,2330
2019,"QLD","PR","Humanitarian",1920,20,1900
2019,"QLD","PR","Other",1250,1290,-40
2019,"QLD","PR","Total",8880,3150,5730
2020,"QLD","PR","Family",1740,530,1210
2020,"QLD","PR","Skilled",1550,710,840
2020,"QLD","PR","Humanitarian",130,10,120
2020,"QLD","PR","Other",680,850,-170
2020,"QLD","PR","Total",4100,2100,2000
2021,"QLD","PR","Family",3480,860,2620
2021,"QLD","PR","Skilled",3340,800,2540
2021,"QLD","PR","Humanitarian",720,20,700
2021,"QLD","PR","Other",1160,1210,-50
2021,"QLD","PR","Total",8700,2890,5810
2022,"QLD","PR","Family",2780,890,1890
2022,"QLD","PR","Skilled",4880,680,4200
2022,"QLD","PR","Humanitarian",1390,20,1370
2022,"QLD","PR","Other",1360,1340,20
2022,"QLD","PR","Total",10410,2930,7480
2023,"QLD","PR","Family",2870,900,1970
2023,"QLD","PR","Skilled",5170,770,4400
2023,"QLD","PR","Humanitarian",2760,20,2740
2023,"QLD","PR","Other",1250,1320,-70
2023,"QLD","PR","Total",12050,3010,9040
2014,"SA","PR","Family",1960,220,1740
2014,"SA","PR","Skilled",4240,520,3720
2014,"SA","PR","Humanitarian",790,10,780
2014,"SA","PR","Other",200,260,-60
2014,"SA","PR","Total",7190,1010,6180
2015,"SA","PR","Family",1800,230,1570
2015,"SA","PR","Skilled",3820,480,3340
2015,"SA","PR","Humanitarian",1080,10,1070
2015,"SA","PR","Other",220,250,-30
2015,"SA","PR","Total",6920,970,5950
2016,"SA","PR","Family",1650,220,1430
2016,"SA","PR","Skilled",3800,390,3410
2016,"SA","PR","Humanitarian",1440,0,1440
2016,"SA","PR","Other",230,290,-60
2016,"SA","PR","Total",7120,900,6220
2017,"SA","PR","Family",1550,220,1330
2017,"SA","PR","Skilled",4110,400,3710
2017,"SA","PR","Humanitarian",860,10,850
2017,"SA","PR","Other",200,300,-100
2017,"SA","PR","Total",6720,930,5790
2018,"SA","PR","Family",1390,220,1170
2018,"SA","PR","Skilled",4090,370,3720
2018,"SA","PR","Humanitarian",1000,10,990
2018,"SA","PR","Other",280,370,-90
2018,"SA","PR","Total",6760,970,5790
2019,"SA","PR","Family",1230,240,990
